text,text_len,speaker,bitrate,latency_ms,success,size_bytes
你好世界,4,Vivian,128k,1471.3484290005,True,24236
你好世界,4,Vivian,128k,2012.3469050013227,True,34604
你好世界,4,Vivian,128k,1766.911203001655,True,29612
你好世界,4,Vivian,128k,2044.5581399981165,True,34604
你好世界,4,Vivian,128k,1427.9104480010574,True,23084
你好世界,4,Vivian,192k,1961.0471149972,True,39884
你好世界,4,Vivian,192k,1321.3793549984985,True,27404
你好世界,4,Vivian,192k,2032.5918609996734,True,41804
你好世界,4,Vivian,192k,1434.8180770030012,True,30284
你好世界,4,Vivian,192k,1238.2815980017767,True,25484
你好世界,4,Vivian,320k,1657.868727001187,True,35084
你好世界,4,Vivian,320k,1771.9262130012794,True,37004
你好世界,4,Vivian,320k,1584.7590220000711,True,33644
你好世界,4,Vivian,320k,2273.630914001842,True,48044
你好世界,4,Vivian,320k,1852.1335559998988,True,38444
